,title,content
9999995,‘전세 제비뽑기’까지…역대급 전세난,상대적으로 숨고르기를 하고 있는 부동산 매매시장과 달리 전셋값 불안이 최근 이어지고 있습니다.
9999995,"현대차, 중고차 시장 진출 선언…업계는 강력 반발 태세","중고차 거래할 때,  허위 매물이나  가짜 이력 등으로  피해를 보는 경우 종종 있지요."
9999995,클로징,검은색 도시락 가방 안에는 따끈한 엄마표 아침밥이 들어있습니다.
9999995,"피격 공무원 유족, 연평도 해상서 눈물의 위령제",북한군의 총격으로 사망한 해양수산부 공무원 이모씨의 친형 이래진씨가 21일 강경화 외교부 장관을 만났다.
9999995,"""네 식구 살기는 좁아요""…'전용84' 임대주택 나온다",살다 보면 아이가 생기고 살림살이가 늘어서 어쩔 수 없이 큰 집으로 이사를 해야 합니다.
9999995,"이낙연, 日 스가 측근 가와무라 만나 ""지혜 짜내자…공물은 유감""","이 대표는 이날 오후 국회에서 가와무라 간사장과 40분 가량 면담을 마친 뒤 취재진과 만나 ""한일 현안에 대해 당국 간 적극적으로 협의하자, 서로 지혜를 짜내자는 데에는 의견이 일치했다""고 밝혔다."
9999995,코로나 역풍 맞은 공기청정기…다시 찾아온 미세먼지에 판매 기지개,지난해 역대급 미세먼지 속에 가정 필수품으로 떠오른 공기청정기가 올해는 미세먼지 없는 맑은 날이 많아지면서 판매가 주춤했는데요.
9999995,"롯데마트, 농식품부ㆍaT와 손잡고 전통주 유통판로 개척 나서",농림축산식품부는 전통주의 다양성과 우수성을 알리고 전통주 제조업체 판로지원을 위해 롯데마트 수도권 주요 12개 점포에서 국내산 농산물로 만든 우수한 품질의 전통주를 신규 입점하여 소비자에게 선보인다.
9999995,"여야 정치권 애도 속 온도차…청와대, 조화 보내","여야 정치권은 이건희 삼성그룹 회장의 별세에 일제히 애도를 표했지만, 그 성과를 평가하는 데는 온도차를 보였습니다."
9999995,외국인 노동자 없어 조업 포기…임금 2배 ‘빼가기 경쟁’까지,코로나19 영향으로 외국인 노동자의 입국 길이 막히면서 어민들이 일손을 찾지 못해 조업을 포기하고 있습니다.
9999995,경기부양책 합의 가능성에 뉴욕증시 상승 출발,추가 경기부양책에 대한 기대감으로 미국 뉴욕 증시의 3대 지수가 일제히 상승 출발했다.
9999995,코로나19로 폐업한 소상공인에게 ‘재도전 장려금’ 지급,코로나19로 폐업한 소상공인들을 위해 '폐업 점포 재도전 장려금'이 지급됩니다.
9999995,"""勞로 기운 노사관계 바로잡아야… 기업도 '대항권' 필요"" ","재계는 정부와 여당이 추진해온 노동법 개정안의 주요 내용인 해고자의 노조 가입 허용, 파업 중 대체근로 금지 등 노조 편향적 정책이 선진국 기준에 역주행한다고 목소리를 높여왔다."
9999995,"국방부, 주한미군 7명에 자유수호메달",국방부는 29일 경기도 평택시 캠프 험프리스 주한미군기지에서 열린 6·25전쟁 70주년 ‘한·미동맹 기억 및 감사 행사’에서 6·25참전용사 후손인 주한미군 장교와 군무원 7명에게 한국 정부가 수여하는 자유수호메달을 전달했다고 밝혔다.
9999995,"과기정통부, 민간 주도 '연구개발 투자혁신 기획단' 출범",과학기술정통신부 과학기술혁신본부는 정부 연구개발 예산 투자 시스템 및 투자 전략의 문제점을 도출하고 개선 방향을 제언하기 위해 과기분야 민간 전문가로 구성된 '연구개발 투자혁신 기획단'이 출범했다고 29일 밝혔다.
9999995,"정의당 새 대표에 원외 김종철 당선 ""거대 양당 긴장하라""",정의당은 지난 5일부터 닷새간 온라인 결선 투표를 진행한 결과 김종철 후보가 배진교 후보를 제치고 당 대표에 당선됐다고 9일 발표했다.
9999995,"동작구, 2020년 행안부 지자체 재정분석 ‘우수기관’",서울 동작구는 행정안전부 주관 ‘2020년 지방자치단체 재정분석 종합평가’에서 우수기관으로 선정됐다고 21일 밝혔다.
9999995," 인천공항, 세계 공항 최초로 자율주행 카트로봇 시범 도입",인천국제공항공사 직원이 제2여객터미널 출국장에서 자율주행 카트로봇에 짐을 싣고 있다.
9999995,한샘·일러스트레이터와 손잡은 삼성 ‘비스포크’ ,"삼성전자가 종합 홈인테리어 기업인 한샘, 프랑스 출신 유명 일러스트레이터 티보 에렘과 협업해 맞춤형 냉장고 ‘비스포크’에 새로운 디자인을 도입했다고 6일 밝혔다."
9999995,"중국 ""우리 백신 비쌀 거다? 합리적 가격에 판매할 것""","1일 차이나데일리에 따르면 왕원빈 중국 외교부 대변인은 이날 뉴스 브리핑에서 ""다른 나라에서 개발중인 백신의 가격이 얼마인지는 아직 알 수 없다""면서도 ""하지만 중국이 개발하는 백신은 합리적인 가격에 세계에 판매할 것임은 확실히 말할 수 있다""고 설명했다."
9999995,막을 수 없는 '추캉스' 인파...대책은 방역뿐,"연휴 사흘째, 전국 관광지엔 이른바 '추캉스' 인파가 몰렸습니다. 가을 단풍철까지 겹쳤는데, 오는 관광객을 막을 수 없는 각 지자체는 각종 행사를 취소하고 방역에 집중하고 있습니다."
